name,longitude,latitude,type,annual_production,main_species,threat
Tema Fishing Harbour,-0.0165,5.6415,Marine,65000 tonnes/yr,Sardinella/Tuna/Mackerel,IUU fishing
Elmina Fishing Village,-1.3500,5.0833,Marine,18000 tonnes/yr,Sardinella/Herring,Stock depletion
Keta Lagoon,0.9833,5.9167,Marine,8500 tonnes/yr,Tilapia/Mullet/Shrimp,Coastal erosion
Axim Coastal Fishery,-2.2406,4.8697,Marine,6000 tonnes/yr,Tuna/Barracuda,Oil spill risk
Winneba Harbour,-0.6167,5.3500,Marine,9000 tonnes/yr,Sardinella/Mackerel,Overfishing
Lake Volta Yeji,-0.6333,8.2167,Inland,8000 tonnes/yr,Tilapia/Nile Perch,Stock collapse
Lake Volta Kpando,0.3000,7.0333,Inland,5500 tonnes/yr,Tilapia/Catfish,Declining water levels
Pra River Basin,-1.6000,5.7500,Inland,2800 tonnes/yr,Tilapia/Catfish,Galamsey contamination
Bia River,-3.1500,6.5500,Inland,1500 tonnes/yr,Tilapia/Mudfish,Mining runoff
White Volta North,-1.0833,10.9167,Inland,3200 tonnes/yr,Tilapia/Catfish,Drought
Akosombo Cage Culture,0.0667,6.3000,Aquaculture,85000 tonnes/yr,Nile Tilapia,Water quality
Volta Aquaculture Corridor,-0.2500,7.7500,Aquaculture,42000 tonnes/yr,Tilapia/Catfish,Feed costs
Kumasi Fish Farms,-1.5500,6.6000,Aquaculture,28000 tonnes/yr,Catfish/Tilapia,Urban expansion
Ada Shrimp Farms,0.6167,5.7833,Aquaculture,1200 tonnes/yr,Tiger Shrimp,Salinity change
Brong-Ahafo Pond Zone,-1.7000,7.9500,Aquaculture,18000 tonnes/yr,Tilapia/Catfish,Market access
