year,wild_catch_tonnes,aquaculture_tonnes,total_production_tonnes,marine_catch_tonnes,inland_catch_tonnes,volta_lake_catch_tonnes,imported_fish_tonnes,fish_price_usd_per_kg,fishers_count,aquaculture_farms,mean_sst_c,rainfall_mm,unemployment_fisheries_pct,export_value_usd_millions,domestic_consumption_kg_per_capita
1990,428000,1200,429200,320000,108000,85000,120000,0.45,120000,45,26.1,1240,12.1,18.2,24.1
1991,421000,1400,422400,314000,107000,83000,124000,0.47,119500,52,26.2,1218,12.3,17.8,23.9
1992,415000,1650,416650,308000,107000,81000,129000,0.48,119000,61,26.3,1201,12.5,17.5,23.7
1993,408000,1900,409900,302000,106000,79000,133000,0.50,118500,72,26.4,1189,12.8,17.1,23.5
1994,401000,2200,403200,296000,105000,77000,138000,0.52,118000,85,26.5,1172,13.1,16.8,23.2
1995,395000,2600,397600,291000,104000,75000,143000,0.54,117500,101,26.6,1158,13.4,16.4,23.0
1996,389000,3100,392100,286000,103000,73000,148000,0.56,117000,119,26.5,1168,13.2,16.7,22.8
1997,382000,3700,385700,280000,102000,71000,154000,0.59,116500,141,26.7,1141,13.7,16.1,22.5
1998,374000,4400,378400,274000,100000,69000,160000,0.61,116000,167,26.9,1128,14.1,15.7,22.2
1999,367000,5200,372200,269000,98000,67000,166000,0.63,115500,198,26.8,1135,13.9,15.9,22.0
2000,360000,6200,366200,263000,97000,65000,173000,0.66,115000,234,27.0,1118,14.4,15.4,21.7
2001,352000,7400,359400,257000,95000,63000,180000,0.69,114000,277,27.1,1104,14.8,15.0,21.4
2002,344000,8800,352800,251000,93000,61000,188000,0.72,113000,328,27.2,1091,15.2,14.6,21.1
2003,336000,10500,346500,245000,91000,59000,196000,0.75,112000,388,27.3,1079,15.6,14.2,20.8
2004,328000,12500,340500,239000,89000,57000,205000,0.78,111000,459,27.3,1083,15.4,14.4,20.5
2005,320000,14900,334900,233000,87000,55000,214000,0.82,110000,544,27.4,1068,15.9,14.0,20.2
2006,311000,17800,328800,227000,84000,53000,224000,0.86,109000,644,27.5,1054,16.4,13.5,19.8
2007,302000,21200,323200,220000,82000,51000,235000,0.90,108000,762,27.6,1041,16.9,13.1,19.5
2008,293000,25300,318300,214000,79000,49000,246000,0.95,107000,902,27.7,1029,17.4,12.7,19.1
2009,284000,30200,314200,207000,77000,47000,258000,1.00,106000,1068,27.8,1018,17.9,12.3,18.8
2010,275000,36000,311000,201000,74000,45000,271000,1.06,105000,1264,28.0,1003,18.5,11.8,18.4
2011,266000,43000,309000,194000,72000,43500,285000,1.12,104000,1496,27.9,1010,18.2,12.0,18.1
2012,257000,51300,308300,188000,69000,42000,300000,1.19,103000,1771,28.1,997,18.8,11.5,17.7
2013,248000,61200,309200,181000,67000,40500,316000,1.26,102000,2096,28.2,985,19.3,11.1,17.4
2014,239000,73000,312000,175000,64000,39000,333000,1.34,101000,2481,28.3,974,19.9,10.7,17.0
2015,230000,87100,317100,168000,62000,37500,351000,1.43,100000,2938,28.5,960,20.5,10.2,16.6
2016,221000,103900,324900,162000,59000,36000,370000,1.53,99000,3477,28.7,945,21.2,9.7,16.2
2017,213000,123900,336900,156000,57000,34500,390000,1.64,98000,4115,28.6,952,20.9,9.9,15.9
2018,205000,147800,352800,150000,55000,33000,412000,1.76,97000,4872,28.8,938,21.6,9.4,15.5
2019,197000,176300,373300,144000,53000,31500,435000,1.89,96000,5768,29.0,924,22.3,8.9,15.1
2020,189000,210400,399400,138000,51000,30000,460000,2.03,95000,6827,29.1,914,22.9,8.4,14.7
2021,182000,251100,433100,133000,49000,28500,487000,2.18,94000,8082,29.2,904,23.6,7.9,14.3
2022,175000,299700,474700,128000,47000,27000,516000,2.35,93000,9569,29.4,892,24.4,7.4,13.9
2023,168000,357700,525700,123000,45000,25500,548000,2.53,92000,11326,29.6,879,25.2,6.9,13.5
